ក	ka
កន្ត្រាក់	kantraeak
កន្ត្រាក់កន្ត្រើន	kantraeakkntraeun
កន្ត្រាក់កន្ត្រែង	kantraeakkntraeaeng
កន្ត្រាក់ជើង	kantraeakcheung
កន្ត្រាក់ដៃ	kantraeakdai
កន្ត្រាង	kantraeang
កន្ត្រិចតែ	kantraichtae
កន្ត្រឺង	kantraueung
កន្ត្រឺងប្រឹង	kantraueungbraueng
កន្ត្រុំ	kantraum
កន្ត្រើង	kantraeung
កន្ត្រើងរ៉ើង	kantraeungreung
កន្ត្រើន	kantraeun
កន្ត្រើយ	kantraeuy
កន្ត្រេកកន្ត្រាក	kantraekkantraeak
កន្ត្រែ	kantraeae
កន្ត្រែង	kantraeaeng
កន្ត្រែត	kantraeaet
កន្ត្រៃ	kantraey
កន្ត្រៃកាត់ក្រចក	kantraeykaatkrachak
កន្ត្រៃកាត់លួស	kantraeykaatluos
កន្ត្រៃចៀរដែក	kantraeychierdaek
កន្ត្រៃត្រងដឺ	kantraeytrangodeu
កន្ត្រៃបត់	kantraeybt
កន្ត្រៃពេជ្រ	kantraeypechrea
កន្ត្រៃស៊ីសាយ	kantraeysisay
កន្ត្រៃស្លឹក	kantraeysluek
កន្ត្រោក	kantraouk
កន្ត្រោង	kantraoung
កន្ត្រោន	kantraoun
កន្ត្រំ	kantraum
កន្ថយ	kanthy
កន្ថយស្លាប	kanthyosleab
កន្ថឹក	kanthoek
កន្ថោ	kanthao
កន្ថោក	kanthaok
កន្ថោរ	kanthaor
កន្ថោរខាងកើត	kanthaorkhangkaeut
កន្ថោរខាងជើង	kanthaorkhangcheung
កន្ថោរខាងលិច	kanthaorkhanglich
កន្ទក់	kantk
កន្ទក់កន្ទេញ	kantkkntenh
កន្ទនជៃ	kantnochey
កន្ទនដៃ	kantnodai
កន្ទន់	kantn
កន្ទន់ជៃ	kantnchey
កន្ទន់បាក់ក	kantnbakk
កន្ទប	kantb
កន្ទប់	kantb
កន្ទរា	kantrea
កន្ទល់	kantl
កន្ទា	kantea
កន្ទាចអាល	kanteachaal
កន្ទាទូក	kanteatuk
កន្ទាលត្រអាក	kantealtraaak
កន្ទាស់	kanteas
កន្ទាំ	kantoam
កន្ទាំង	kanteang
កន្ទាំងបាយស	kanteangbays
កន្ទាំងហែ	kanteanghae
កន្ទាំមីង	kantoamming
កន្ទិចអាល	kantichaal
កន្ទិន	kantin
កន្ទិល	kantil
កន្ទី	kanti
កន្ទីងរីង	kantingring
កន្ទឹប	kantueb
កន្ទឹស	kantues
កន្ទឺ	kantueu
កន្ទុយ	kantuy
កន្ទុយក្ងោក	kantuykngouk
កន្ទុយក្ដៅ	kantuykdau
កន្ទុយក្បិន	kantuykben
កន្ទុយក្រង់	kantuykrang
កន្ទុយក្រពើ	kantuykrapeu
កន្ទុយខ្នុរ	kantuykhnur
កន្ទុយខ្វៀន	kantuykhvien
កន្ទុយខ្សៀ	kantuykhsie
កន្ទុយខ្សៀរ	kantuykhsier
កន្ទុយគោ	kantuykou
កន្ទុយចចក	kantuychachak
កន្ទុយឆ្កែ	kantuychhkae
កន្ទុយដំរី	kantuydamri
កន្ទុយត្រី	kantuytrai
កន្ទុយថ្លែន	kantuythleaen
កន្ទុយនាគ	kantuyneak
កន្ទុយបារី	kantuybari
កន្ទុយប្រា	kantuybraea
កន្ទុយពាក្យ	kantuypeaky
កន្ទុយព្រ័ត្រ	kantuypreatra
កន្ទុយភ្នែក	kantuyphneaek
កន្ទុយលឹន	kantuyluen
កន្ទុយលេខ	kantuylekh
កន្ទុយសេះកូតទ្រ	kantuysehkouttrea
កន្ទុយស្រូវ	kantuysrauv
កន្ទុយស្លុយ	kantuysluy
កន្ទុយអណ្ដើក	kantuyaandaeuk
កន្ទុល	kantul
កន្ទុំរុយ	kantumruy
កន្ទូច	kantuch
កន្ទូតអូង	kantutaoung
កន្ទួត	kantuot
កន្ទួតដងដាវ	kantuotdangodav
កន្ទួតប្រោង	kantuotbraoung
កន្ទួតព្រៃ	kantuotpreaey
កន្ទួតសសរ	kantuotsasar
កន្ទួតសេះ	kantuotseh
កន្ទួតស្រុក	kantuotsrauk
កន្ទួល	kantuol
កន្ទួលកន្ទឹស	kantuolkantues
កន្ទើញ	kanteunh
កន្ទៀត	kantiet
កន្ទេចអាល	kantechaal
កន្ទេល	kantel
កន្ទេលកក់	kantelkak
កន្ទេលកន្សែង	kantelkansaeng
កន្ទេលកាប់	kantelkab
កន្ទេលក្រហម	kantelkraham
កន្ទេលចចូត	kantelchachout
កន្ទេលជ្រែ	kantelchreaeae
កន្ទេលនប	kantelnob
កន្ទេលនីឡុង	kantelnilong
កន្ទេលផែង	kantelphaeng
កន្ទេលផៃង	kantelphaing
កន្ទេលផ្ដៅ	kantelphdau
កន្ទេលផ្តៅ	kantelphtau
កន្ទេលរុន	kantelrun
កន្ទេលរំចេក	kantelrumchek
កន្ទេលល្មាស	kantellmeas
កន្ទេលស្ដុក	kantelsdok
កន្ទេលអញ្ចូត	kantelaanhchout
កន្ទែក	kanteaek
កន្ទែល	kanteael
កន្ទោក	kantouk
កន្ទោង	kantoung
កន្ទោងខៀវ	kantoungkhiev
កន្ទោងត្រង	kantoungtrang
កន្ទំរុយ	kantumruy
កន្ទះរា	kanteahrea
កន្ទ្រង់	kantreang
កន្ទ្រម	kantream
កន្ទ្រល	kantreal
កន្ទ្រលអួក	kantrealoauok
កន្ទ្រាក់	kantreaeak
កន្ទ្រាង	kantreaeang
កន្ទ្រាញ	kantreaeanh
កន្ទ្រាំ	kantreaoam
កន្ទ្រាំង	kantreaeang
កន្ទ្រិប	kantreaib
កន្ទ្រឹប	kantreaueb
កន្ទ្រឹស	kantreaues
កន្ទ្រឺស	kantreaueus
កន្ទ្រុប	kantreaub
កន្ទ្រុំ	kantreaum
កន្ទ្រូល	kantreaul
កន្ទ្រួក	kantreauok
កន្ទ្រួប	kantreauob
កន្ទ្រើង	kantreaeung
កន្ទ្រើងរើង	kantreaeungreung
កន្ទ្រែត	kantreaeaet
កន្ទ្រៃ	kantreaey
កន្ទ្រោក	kantreaouk
កន្ទ្រោកដំរី	kantreaoukdamri
កន្ទ្រោប	kantreaoub
កន្ធរ	kanthr
កន្ធា	kanthea
កន្ធាញ	kantheanh
កន្ធាត់	kanthoat
កន្ធាធា	kantheathea
កន្ធាយ	kantheay
កន្ធាំង	kantheang
កន្ធាំងជើង	kantheangcheung
កន្ធិងកន្ធាំង	kanthingkantheang
កន្ធីង	kanthing
កន្ធឹប	kanthueb
កន្ធុក	kanthuk
កន្ធុច	kanthuch
កន្ធុល	kanthul
កន្ធួក	kanthuok
កន្ធែក	kantheaek
កន្ធែកជើង	kantheaekcheung
កន្ធែង	kantheaeng
កន្ធំ	kanthum
កន្ធំថេត	kanthumthet
កន្និដ្ឋា	kannidtha
កន្យា	kanyea
កន្រ្តប់	kanreatb
កន្រ្តាក	kanreatak
កន្រ្តាក់	kanreatak
កន្រ្តុំ	kanreatom
កន្រ្តើន	kanreataeun
កន្រ្តេក	kanreatek
កន្រ្តៃ	kanreatai
កន្រ្ទង់	kanreatng
កន្រ្ទាញ	kanreateanh
កន្រ្ទាំងបាយស	kanreateangbays
កន្រ្ទើង	kanreateung
កន្លង	kanlng
កន្លងខ្នប់	kanlngokhnb
កន្លងខ្លួន	kanlngokhluon
កន្លងជើងមេបា	kanlngocheungmeba
កន្លងទៅ	kanlngotov
កន្លងធាតុប្ដី	kanlngotheatobdei
កន្លងភ្នំ	kanlngophnum
កន្លងមក	kanlngomok
កន្លង់	kanlng
កន្លង់ជុំ	kanlngchum
កន្លង់រត្ន	kanlngrtn
កន្លាក់ដៃ	kanleakdai
កន្លាញ់	kanleanh
កន្លាត	kanleat
កន្លាស់	kanleas
កន្លាស់ក	kanleask
កន្លាស់ក្រវិល	kanleaskravil
កន្លាស់ក្រោយ	kanleaskraouy
កន្លាស់មុខ	kanleasmukh
កន្លិច	kanlich
កន្លុក	kanluk
កន្លុកកន្លៀត	kanlukkanliet
កន្លុះ	kanluh
កន្លុះក្របី	kanluhkrabei
កន្លុះគោ	kanluhkou
កន្លើក	kanleuk
កន្លើត	kanleut
កន្លើតចក	kanleutchak
កន្លៀត	kanliet
កន្លៀតគន្លោង	kanlietkonloung
កន្លៀតត្រចៀក	kanliettrachiek
កន្លៀតទ្វារ	kanliettvear
កន្លេង	kanleng
កន្លេញ	kanlenh
កន្លែង	kanleaeng
កន្លែងខ្ទិះ	kanleaengkhtis
កន្លែងខ្លា	kanleaengkhlea
កន្លែងខ្លាញ់	kanleaengkhleanh
កន្លែងងូតទឹក	kanleaengnguttuek
កន្លែងចិនយំ	kanleaengchenyum
កន្លែងចុះ	kanleaengchoh
កន្លែងឆ្មក់	kanleaengchhmk
កន្លែងជ្រក	kanleaengchreak
កន្លែងឈ្លប	kanleaengchhlb
កន្លែងដដែល	kanleaengdadael
កន្លែងដេក	kanleaengdek
កន្លែងណា	kanleaengna
កន្លែងត្រូវ	kanleaengtrauv
កន្លែងថ្មដុះ	kanleaengthmdoh
កន្លែងទុកប្រេងសាំង	kanleaengtukbraengsang
កន្លែងនៅ	kanleaengnov
កន្លែងផ្ទះ	kanleaengphteah
កន្លែងពិនិត្យ	kanleaengpinity
កន្លែងពិសោធ	kanleaengpisaoth
កន្លែងរាំ	kanleaengroam
កន្លែងស៊ីផឹក	kanleaengsiphoek
កន្លែងអេម	kanleaengaem
កន្លោង	kanloung
កន្លោត	kanlout
កន្លះ	kanleah
កន្លះគ្រហែត	kanleahkreahaet
កន្លះបន្ទាត់	kanleahbntoat
កន្លះម៉ោង	kanleahmoung
កន្លះរង្វង់	kanleahrngvng
កន្សាក់	kansak
កន្សុំ	kansom
កន្សែង	kansaeng
កន្សែងងូតទឹក	kansaengnguttuek
កន្សែងច្របុច	kansaengchraboch
កន្សែងជូតខ្លួន	kansaengchutkhluon
កន្សែងជូតមាត់	kansaengchutmoat
កន្សែងជូតមុខ	kansaengchutmukh
កន្សែងដៃ	kansaengdai
កន្សែងបង់ក	kansaengbangk
កន្សែងបាយ	kansaengbay
កន្សែងពោះគោ	kansaengpuohkou
កន្សែងយ័ន្ត	kansaengynt
កន្សៃ	kansai
កន្សៃទូក	kansaituk
កន្សៃផ្ទះ	kansaiphteah
កន្សៃរទេះ	kansairteh
កន្សោម	kansaom
កន្សោមកូន	kansaomkoun
កន្សោមដោះ	kansaomdaoh
កន្សោមតាឪ	kansaomta
កន្សោមតាឱ	kansaomtaao
កន្សោមតាឳ	kansaomtaau
កន្សោមផ្កា	kansaomphka
កន្សោមពង	kansaompong
កន្សោមពាក្យ	kansaompeaky
កន្សោមលម្អង	kansaomlomang
កន្សោមលំអង	kansaomlumang
កន្សោមអក	kansaomaak
កប	kab
កបាល	kabal
កបិ	kabe
កបិចិត្ដ	kabechetd
កបិចិត្ត	kabechett
កបិដ្ឋ	kabedth
កបិត	kabet
កបិល	kabel
កបិលពស្ដុ	kabelposdo
កបិលពស្តុ	kabelposto
កបិលភស្តុ	kabelphosto
កបិលវត្ថុ	kabelvottho
កបិលវស្តុ	kabelvosto
កបេព្ធ	kabepth
កបោតបក្សី	kabaotbaksei
កប៉ាលមុជទឹក	kabealmuchtuek
កប៉ាល់	kabeal
កប៉ាល់ចម្លង	kabealchmlng
កប៉ាល់ជំនួញ	kabealchumnuonh
កប៉ាល់ដឹកសណ្ដោង	kabealdoeksandaong
កប៉ាល់ទឹក	kabealtuek
កប៉ាល់បរមាណូ	kabealbromeanou
កប៉ាល់បាញ់គ្រាប់បែក	kabealbanhkreaeabbaek
កប៉ាល់ភ្លើង	kabealphleung
កប៉ាល់មុជទឹក	kabealmuchtuek
កប៉ាល់ល្បាត	kabeallbat
កប៉ាល់សមុទ្រ	kabealsmutrea
កប៉ាល់ហោះ	kabealhaoh
កប់	kab
កប់ក្ដី	kabkdei
កប់ខ្មោច	kabkhmouch
កប់ច្បាក់	kabchbak
កប់ដើម	kabdaeum
កប់ដើមកប់ចុង	kabdaeumkabchong
កប់ប្រាក់	kabbraeak
កប់ភក់	kabphk
កប់ភក់កប់ជ្រាំ	kabphkkbchreaoam
កប់មីន	kabmin
កប់យោបល់	kabyoubl
កប៌ូរ	kabur
កប្ប	kabb
កប្បព្រឹក្ស	kabbpreaueks
កប្បសទ្ទ	kabbsatt
កប្បាស	kabbas
កប្បាសព្នង	kabbaspnng
កប្បាសព្រៃ	kabbaspreaey
កប្បាសម័យ	kabbasmey
កប្បាសល័ក្ដ	kabbaslkd
កប្បាសហាប	kabbashab
កប្បិយ	kabbey
កប្បៈ	kabbak
កពរមណិ	kaporomone
កពិ	kapi
កពិផៅ	kapiphau
កព្ឆោង	kapchhaong
កព្ផោង	kapphaong
កភូមិ	kaphumi
កភ្លាយ	kaphleay
កម	kam
កមន	kamon
កមរមាស់	kamoromeas
កមល	kamol
កមាសវៈ	kameasveak
កម៉ល់	kaml
កម៌	kam
កម៌ការ	kamkar
កម៌ន	kamn
កម៌នំ	kamnum
កម៌ន៑	kamn
កម៌េន្រ្ទិយ	kamenreatiy
កម្កើង	kamkaeung
កម្ចាត់	kamchaat
កម្ចាត់ខ្មាំង	kamchaatkhmeang
កម្ចាត់ទ័ព	kamchaattp
កម្ចាត់បង់	kamchaatbng
កម្ចាត់រោគ	kamchaatrouk
កម្ចាត់លោភ	kamchaatlouph
កម្ចាត់សត្រូវ	kamchaatstrauv
កម្ចាយ	kamchay
កម្ចី	kamchei
កម្ចីទុន	kamcheitun
កម្ចីសម្បទាន	kamcheismbtean
កម្ចោក	kamchaok
កម្ជាប់	kamcheab
កម្ជាប់ចិត្ត	kamcheabchett
កម្ជាប់ពាក្យ	kamcheabpeaky
កម្ជិល	kamchil
កម្ជិលផេះ	kamchilpheh
កម្ជិលអាំងផេះ	kamchilaangpheh
កម្ជេញ	kamchenh
កម្ញី	kamnhi
កម្ដៅ	kamdau
កម្ដៅចិត្ត	kamdauchett
កម្ដៅថ្ងៃ	kamdauthngey
កម្ដៅពោះ	kamdaupuoh
កម្ដៅសម្ល	kamdausml
កម្ដៅសុរា	kamdausorea
កម្ដៅឡ	kamdaul
កម្តៅ	kamtau
កម្តៅចិត្ត	kamtauchett
កម្តៅថ្ងៃ	kamtauthngey
កម្តៅពោះ	kamtaupuoh
កម្តៅភ្លើង	kamtauphleung
កម្តៅសម្ល	kamtausml
កម្តៅសុរា	kamtausorea
កម្ទរ	kamtr
កម្ទរសំដី	kamtrosamdei
កម្ទារ	kamtear
កម្ទារសំដី	kamtearsamdei
កម្ទេច	kamtech
កម្ទេចកម្ទី	kamtechkamti
កម្ទេចកំណ	kamtechkamn
កម្ទេចកំទី	kamtechkamti
កម្ទេចដែក	kamtechdaek
កម្ទេចធូលី	kamtechthuli
កម្ទេចផេះ	kamtechpheh
កម្ទេចភ្លើង	kamtechphleung
កម្ទេចមាស	kamtechmeas
កម្ទេចសម្លី	kamtechsamli
កម្ទេចសំឡី	kamtechsamlei
កម្នាច់	kamneach
កម្នាញ់	kamneanh
កម្នាត់	kamnoat
កម្នួច	kamnuoch
កម្បង់	kambng
កម្បង់អញ្ជលី	kambnganhchli
កម្បនាទ	kambneat
កម្បាក់	kambak
កម្បាំង	kambang
កម្បុត	kambot
កម្បុតត្បូង	kambottboung
កម្បូវ	kambouv
កម្បែក	kambaek
កម្បោរ	kambaor
កម្ពល	kampl
កម្ពស់	kamps
កម្ពស់កំព	kampskamp
កម្ពស់ជីវភាព	kampschivpheap
កម្ពស់ត្រឹមចង្កេះ	kampstrauemchangkeh
កម្ពស់នៃពពក	kampsneyppok
កម្ពីរ	kampir
កម្ពុ	kampu
កម្ពុក	kampuk
កម្ពុង	kampung
កម្ពុជ	kampuch
កម្ពុជទេស	kampuchtes
កម្ពុជមិត្រ	kampuchmitra
កម្ពុជរដ្ឋ	kampuchrodth
កម្ពុជរាជ	kampuchreach
